title,link,special_price,normal_price,User-Agent
Authentic Wotofo MDura Mini Kit - Halftone Orange,https://www.cigabuy.com/authentic-wotofo-mdura-mini-kit-halftone-orange-p-21626.html,$31.80,$55.24 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Wotofo MDura Mini Kit - Halftone Black,https://www.cigabuy.com/authentic-wotofo-mdura-mini-kit-halftone-black-p-21623.html,$31.80,$55.24 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Wotofo MDura Mini Kit - Halftone Blue,https://www.cigabuy.com/authentic-wotofo-mdura-mini-kit-halftone-blue-p-21624.html,$31.80,$55.24 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Wotofo MDura Kit - King Kong Red,https://www.cigabuy.com/authentic-wotofo-mdura-kit-king-kong-red-p-21573.html,$35.21,$60.27 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Wotofo MDura Mini Kit - Halftone Red,https://www.cigabuy.com/authentic-wotofo-mdura-mini-kit-halftone-red-p-21625.html,$31.80,$55.24 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Wotofo MDura Kit - King Kong Orange,https://www.cigabuy.com/authentic-wotofo-mdura-kit-king-kong-orange-p-21574.html,$35.21,$60.27 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Uwell Whirl T1 Pod Mod Kit - Grey,https://www.cigabuy.com/authentic-uwell-whirl-t1-pod-mod-kit-grey-p-21569.html,$21.58,$27.73 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Wotofo nexMINI Subtank - Black,https://www.cigabuy.com/authentic-wotofo-nexmini-subtank-black-p-21614.html,$18.17,$30.11 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Uwell Aeglos P1 Kit - Reddish Brown,https://www.cigabuy.com/authentic-uwell-aeglos-p1-kit-reddish-brown-p-21529.html,$28.39,$44.12 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Geekvape Aegis Nano Pod Kit  - Camo Blue,https://www.cigabuy.com/authentic-geekvape-aegis-nano-pod-kit-camo-blue-p-21177.html,$23.85,$36.11 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Geekvape Z50 Kit - Silver,https://www.cigabuy.com/authentic-geekvape-z50-kit-silver-p-21336.html,$39.75,$63.83 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Geekvape Obelisk 60 Pod Kit - Silver & Green,https://www.cigabuy.com/authentic-geekvape-obelisk-60-pod-kit-silver-green-p-21176.html,$35.21,$47.71 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Geekvape Z50 Kit - Gunmetal,https://www.cigabuy.com/authentic-geekvape-z50-kit-gunmetal-p-21334.html,$38.62,$63.83 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Geekvape Obelisk Sub-Ohm Tank  - Black,https://www.cigabuy.com/authentic-geekvape-obelisk-sub-ohm-tank-black-p-21078.html,$18.17,$30.29 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic DOVPO x Suicide Mods Abyss AIO 60W SBS Kit - Classic,https://www.cigabuy.com/authentic-dovpo-x-suicide-mods-abyss-aio-60w-sbs-kit-classic-p-21125.html,$90.86,$127.78 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Geekvape Obelisk 60 Pod Kit - SS & Blue,https://www.cigabuy.com/authentic-geekvape-obelisk-60-pod-kit-ss-blue-p-21175.html,$35.21,$47.71 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Geekvape Obelisk 60 Pod Kit - Gunmetal,https://www.cigabuy.com/authentic-geekvape-obelisk-60-pod-kit-gunmetal-p-21174.html,$35.21,$47.71 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Geekvape Obelisk 120 FC Z Zeus Tank Kit no Fast Charger - Gunmetal,https://www.cigabuy.com/authentic-geekvape-obelisk-120-fc-z-zeus-tank-kit-no-fast-charger-gunmetal-p-21089.html,$60.20,$101.53 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
